iter	Passed	Remaining
0	10	2068
1	100	9904
2	114	7494
3	213	10485
4	245	9563
5	320	10360
6	332	9160
7	353	8478
8	381	8102
9	471	8953
10	577	9921
11	606	9502
12	625	9000
13	635	8438
14	680	8395
15	770	8862
16	861	9269
17	893	9033
18	984	9375
19	1069	9626
20	1158	9872
21	1178	9538
22	1270	9777
23	1372	10066
24	1469	10288
25	1509	10102
26	1527	9784
27	1552	9535
28	1635	9644
29	1731	9813
30	1821	9928
31	1922	10094
32	2024	10243
33	2135	10423
34	2157	10170
35	2280	10387
36	2379	10481
37	2466	10516
38	2554	10547
39	2639	10556
40	2736	10611
41	2840	10684
42	2940	10737
43	3043	10788
44	3129	10778
45	3219	10779
46	3309	10772
47	3404	10781
48	3494	10767
49	3586	10758
50	3671	10727
51	3757	10694
52	3852	10685
53	3951	10684
54	4050	10678
55	4145	10660
56	4250	10662
57	4350	10650
58	4440	10610
59	4541	10595
60	4657	10612
61	4747	10566
62	4839	10523
63	4930	10478
64	5025	10437
65	5123	10402
66	5215	10352
67	5326	10339
68	5421	10292
69	5517	10246
70	5615	10202
71	5712	10155
72	5797	10086
73	5879	10011
74	5969	9948
75	6064	9895
76	6154	9831
77	6251	9777
78	6346	9720
79	6439	9659
80	6523	9583
81	6612	9515
82	6709	9457
83	6799	9390
84	6887	9318
85	7027	9315
86	7287	9465
87	7388	9404
88	7479	9327
89	7573	9256
90	7669	9186
91	7764	9114
92	7856	9038
93	7950	8965
94	8055	8903
95	8149	8828
96	8221	8730
97	8290	8629
98	8348	8517
99	8410	8410
100	8472	8304
101	8538	8203
102	8606	8105
103	8668	8001
104	8730	7899
105	8789	7794
106	8848	7691
107	8911	7591
108	8977	7495
109	9072	7422
110	9132	7322
111	9194	7224
112	9264	7132
113	9330	7038
114	9417	6960
115	9478	6864
116	9544	6771
117	9615	6681
118	9685	6592
119	9761	6507
120	9831	6419
121	9899	6329
122	9975	6244
123	10038	6152
124	10108	6065
125	10193	5986
126	10260	5897
127	10318	5804
128	10385	5716
129	10449	5626
130	10513	5537
131	10591	5456
132	10650	5365
133	10712	5276
134	10772	5186
135	10834	5098
136	10894	5009
137	10957	4923
138	11029	4840
139	11099	4756
140	11155	4667
141	11220	4583
142	11283	4497
143	11336	4408
144	11405	4326
